frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,qX,qY,qZ,qW,grounded,sleeping,sleepInhibited,sleepCounter,islandRoot,bodyEligible,islandEligible,topologyStable,islandCanSleep,contactRows,maxPenetration,maxSeparationBias,maxClosingSpeed,maxSlipSpeed,maxImpulse,resetReason
22,0,chaos_a,-52.8367,100.0000,-10.2704,11.5511,0.0000,-11.6983,16.4401,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
22,1,chaos_b,40.7789,100.0000,17.7246,-6.7248,0.0000,14.4171,15.9084,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
22,2,chaos_c,3.4820,100.0000,56.3515,-2.4059,0.0000,-9.1670,9.4775,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
23,0,chaos_a,-52.7402,100.0000,-10.3678,11.5753,0.0000,-11.6843,16.4472,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
23,1,chaos_b,40.7226,100.0000,17.8449,-6.7584,0.0000,14.4359,15.9396,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
23,2,chaos_c,3.4622,100.0000,56.2747,-2.3765,0.0000,-9.2200,9.5214,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
24,0,chaos_a,-52.6436,100.0000,-10.4650,11.5994,0.0000,-11.6703,16.4542,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
24,1,chaos_b,40.6660,100.0000,17.9654,-6.7922,0.0000,14.4547,15.9710,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
24,2,chaos_c,3.4427,100.0000,56.1974,-2.3468,0.0000,-9.2732,9.5656,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
25,0,chaos_a,-52.5467,100.0000,-10.5622,11.6236,0.0000,-11.6562,16.4613,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
